10
10
29 1
78 2
09 3
36 4
49 5
11 6
62 7
56 8
44 9
21 10

43 1
90 3
75 5
11 10
69 4
28 2
46 7
46 6
72 8
30 9

91 2
85 1
39 4
74 3
90 9
10 6
12 8
89 7
45 10
33 5

81 2
95 3
71 1
99 5
09 7
52 9
85 8
98 4
22 10
43 6

14 3
06 1
22 2
61 6
26 4
69 5
21 9
49 8
72 10
53 7

84 3
02 2
52 6
95 4
48 9
72 10
47 1
65 7
06 5
25 8

46 2
37 1
61 4
13 3
32 7
21 6
32 10
89 9
30 8
55 5

31 3
86 1
46 2
74 6
32 5
88 7
19 9
48 10
36 8
79 4

76 1
69 2
76 4
51 6
85 3
11 10
40 7
89 8
26 5
74 9

85 2
13 1
61 3
07 7
64 9
76 10
47 6
52 4
90 5
45 8

